warehouse_id,date,sku,quantity_on_hand
WH-002,2026-01-03,SKU-0001,53
WH-002,2026-01-03,SKU-0002,19
WH-002,2026-01-03,SKU-0003,384
WH-002,2026-01-03,SKU-0004,250
WH-002,2026-01-03,SKU-0005,103
WH-002,2026-01-03,SKU-0006,46
WH-002,2026-01-03,SKU-0007,158
WH-002,2026-01-03,SKU-0008,221
WH-002,2026-01-03,SKU-0009,236
WH-002,2026-01-03,SKU-0010,116
WH-002,2026-01-03,SKU-0011,241
WH-002,2026-01-03,SKU-0012,111
WH-002,2026-01-03,SKU-0013,488
WH-002,2026-01-03,SKU-0014,254
WH-002,2026-01-03,SKU-0015,60
WH-002,2026-01-03,SKU-0016,441
WH-002,2026-01-03,SKU-0017,44
WH-002,2026-01-03,SKU-0018,174
WH-002,2026-01-03,SKU-0019,465
WH-002,2026-01-03,SKU-0020,354
WH-002,2026-01-03,SKU-0021,414
WH-002,2026-01-03,SKU-0022,311
WH-002,2026-01-03,SKU-0023,374
WH-002,2026-01-03,SKU-0024,57
WH-002,2026-01-03,SKU-0025,214
WH-002,2026-01-03,SKU-0026,447
WH-002,2026-01-03,SKU-0027,269
WH-002,2026-01-03,SKU-0028,293
WH-002,2026-01-03,SKU-0029,342
WH-002,2026-01-03,SKU-0030,122
WH-002,2026-01-03,SKU-0031,420
WH-002,2026-01-03,SKU-0032,417
WH-002,2026-01-03,SKU-0033,466
WH-002,2026-01-03,SKU-0034,250
WH-002,2026-01-03,SKU-0035,229
WH-002,2026-01-03,SKU-0036,476
WH-002,2026-01-03,SKU-0037,359
WH-002,2026-01-03,SKU-0038,21
WH-002,2026-01-03,SKU-0039,194
WH-002,2026-01-03,SKU-0040,73
WH-002,2026-01-03,SKU-0041,21
WH-002,2026-01-03,SKU-0042,246
WH-002,2026-01-03,SKU-0043,220
WH-002,2026-01-03,SKU-0044,113
WH-002,2026-01-03,SKU-0045,457
WH-002,2026-01-03,SKU-0046,38
WH-002,2026-01-03,SKU-0047,291
WH-002,2026-01-03,SKU-0048,309
WH-002,2026-01-03,SKU-0049,154
WH-002,2026-01-03,SKU-0050,465
